company,period,account_code,account_name,category,amount
alphatech_saas,2023-01,4100,Subscription Revenue - SMB,Revenue,885395.6550693442
alphatech_saas,2023-01,4110,Subscription Revenue - Mid-Market,Revenue,1126868.133351812
alphatech_saas,2023-01,4120,Subscription Revenue - Enterprise,Revenue,1054498.8836120025
alphatech_saas,2023-01,4130,Implementation Services,Revenue,338276.7314792797
alphatech_saas,2023-01,4140,Training & Certification,Revenue,198830.59869221275
alphatech_saas,2023-01,4150,Professional Services - Time & Materials,Revenue,209133.61948617757
alphatech_saas,2023-01,4160,Marketplace Revenue,Revenue,159113.80710574874
alphatech_saas,2023-01,4170,Usage-based Overage Revenue,Revenue,159094.97675028286
alphatech_saas,2023-01,4180,Usage-based Overage Revenue - Other,Revenue,82429.35303824542
alphatech_saas,2023-01,4190,Usage-based Overage Revenue - Other - Other,Revenue,36826.385407089474
alphatech_saas,2023-01,4200,Usage-based Overage Revenue - Other - Other - Other,Revenue,18604.955136967837
alphatech_saas,2023-01,4210,Usage-based Overage Revenue - Other - Other - Other - Other,Revenue,9894.285704694079
alphatech_saas,2023-01,5100,Cloud Infrastructure,COGS,-476469.49692585843
alphatech_saas,2023-01,5110,Customer Support Payroll,COGS,-407817.2693710032
alphatech_saas,2023-01,5120,Third-Party Support Tools,COGS,-95819.91103264714
alphatech_saas,2023-01,5130,Payment Processing Fees,COGS,-119943.00428445467
alphatech_saas,2023-01,5140,Customer Onboarding Services,COGS,-184685.20688023174
alphatech_saas,2023-01,5150,Implementation Contractors,COGS,-127599.44857087485
alphatech_saas,2023-01,5160,Implementation Contractors - Other,COGS,-64746.04444678301
alphatech_saas,2023-01,5170,Implementation Contractors - Other - Other,COGS,-29965.675574948404
alphatech_saas,2023-01,5180,Implementation Contractors - Other - Other - Other,COGS,-15692.94244922529
alphatech_saas,2023-01,5190,Implementation Contractors - Other - Other - Other - Other,COGS,-8110.7565576697825
alphatech_saas,2023-01,5200,Implementation Contractors - Other - Other - Other - Other - Other,COGS,-3800.912209907906
alphatech_saas,2023-01,5210,Implementation Contractors - Other - Other - Other - Other - Other - Other,COGS,-2054.3851927006567
alphatech_saas,2023-01,5220,Implementation Contractors - Other - Other - Other - Other - Other - Other - Other,COGS,-1433.9593526722183
alphatech_saas,2023-01,6100,Sales Salaries,Operating Expense,-266821.1921036572
alphatech_saas,2023-01,6110,Sales Commissions,Operating Expense,-183836.85490542886
alphatech_saas,2023-01,6120,Marketing Programs,Operating Expense,-177508.4324755789
alphatech_saas,2023-01,6130,Digital Advertising,Operating Expense,-135293.77991126306
alphatech_saas,2023-01,6140,Partner Marketing Funds,Operating Expense,-76935.13719965228
alphatech_saas,2023-01,6200,Engineering Salaries,Operating Expense,-366478.2270585708
alphatech_saas,2023-01,6210,Product Management,Operating Expense,-101696.75304214715
alphatech_saas,2023-01,6220,QA & Testing,Operating Expense,-82079.39850878065
